Model,first_layer_number_of_filters,bottleneck_size,batch_size,epochs,validation roc_auc_score
0,4,128,32,45,0.6652709047075244
1,4,128,128,40,0.31937571374191087
10,128,32,128,95,0.6931861438903693
11,16,4,8,40,0.7759167618322548
12,64,8,8,10,0.7620860296916634
13,128,32,64,85,0.781880472021317
14,64,64,8,10,0.7443217865753077
15,32,4,128,40,0.3919553356173074
16,16,32,16,45,0.8108108108108106
17,32,4,32,80,0.758152518715899
18,4,128,32,95,0.7666539779215835
19,16,64,64,70,0.7421646999111787
2,128,8,16,15,0.7856870955462505
20,4,8,32,40,0.6638751427483821
21,8,64,128,60,0.28562365182083493
22,32,128,128,5,0.29336378632153276
23,8,4,16,60,0.799898490039335
24,128,16,16,90,0.8405024743052912
25,64,16,64,35,0.6881106458571247
26,128,128,32,35,0.6709808399949245
27,64,64,8,35,0.8037051135642684
28,64,16,8,15,0.7176754219007739
29,8,32,32,75,0.7410227128536987
3,8,128,16,25,0.7259231062047963
30,4,64,32,10,0.28892272554244386
31,32,8,64,70,0.7143763481791651
32,32,16,8,45,0.7870828575053928
33,4,32,8,40,0.7577718563634057
34,128,32,8,60,0.874000761324705
35,8,64,8,55,0.811064585712473
36,16,32,128,60,0.3027534576830352
37,8,32,64,45,0.4055322928562365
38,4,64,32,35,0.5036162923486868
39,16,16,32,60,0.7633549041999745
4,32,128,8,90,0.9489912447658926
40,4,16,32,90,0.7608171551833525
41,32,32,128,65,0.6829082603730491
42,32,4,16,50,0.7938078923994417
43,16,16,128,10,0.2966628600431417
44,64,8,8,30,0.7891130567186906
45,16,64,128,10,0.29996193376475067
46,64,32,16,20,0.7849257708412638
47,64,64,128,75,0.6892526329146047
48,4,128,8,5,0.3443725415556401
49,32,8,8,50,0.7559954320517701
5,4,16,8,80,0.7856870955462505
50,32,8,8,85,0.8095419363024996
51,8,64,8,10,0.7337901281563254
52,128,32,8,45,0.8124603476716153
53,4,16,16,90,0.7889861692678594
54,4,4,128,10,0.29780484710062166
55,16,16,32,10,0.2867656388783149
56,8,128,32,75,0.7686841771348812
57,16,64,16,35,0.7628473543966501
58,32,16,8,35,0.798629615531024
59,4,16,64,10,0.29996193376475067
6,8,64,8,65,0.8854206318995053
60,128,128,32,25,0.6676817662733155
61,32,64,64,70,0.8105570359091486
62,32,128,8,50,0.9043268620733408
63,32,64,16,10,0.3019921329780485
64,64,64,8,10,0.7948229920060905
65,4,128,128,30,0.2886689506407816
66,4,32,16,90,0.8012942519984773
67,32,64,128,60,0.29298312396903947
68,128,4,8,80,0.8086537241466818
69,8,8,8,90,0.8505265829209491
7,32,16,64,30,0.6510595102144398
70,16,16,64,5,0.2904453749524172
71,4,8,8,55,0.7238929069914986
72,64,64,64,90,0.7927927927927928
73,128,64,64,70,0.7705874888973481
74,32,16,64,55,0.4102271285369877
75,8,128,64,45,0.27699530516431925
76,128,64,64,5,0.4703717802309352
77,8,128,16,55,0.8129678974749397
78,4,32,128,70,0.2799137165334348
79,4,8,128,5,0.2948864357315061
8,8,4,8,90,0.8365689633295267
80,32,32,32,95,0.7974876284735439
81,128,16,8,15,0.8018018018018017
82,128,16,64,10,0.28816140083745717
83,32,64,8,30,0.8304783656896333
84,4,16,8,75,0.8067504123842152
85,4,32,8,80,0.8179165080573532
86,128,128,8,35,0.8308590280421265
87,16,8,16,30,0.7297297297297297
88,16,128,128,55,0.6555005709935288
89,16,8,32,60,0.7823880218246415
9,8,8,128,85,0.32051770079939096
90,8,64,128,30,0.30262657023220396
91,128,64,16,25,0.7900012688745083
92,4,4,16,95,0.7582794061667301
93,16,32,16,60,0.7949498794569216
94,64,32,16,30,0.7813729222179926
95,4,4,64,45,0.3179799517827686
96,128,16,64,45,0.6898870701687603
97,4,4,64,75,0.5382565664255806
98,32,64,8,45,0.8597893668316203
99,4,8,16,85,0.7488897348052277
base_model,16,64,64,75,0.728968405024743
