Model,first_layer_output_size,bottleneck_size,batch_size,epochs,validation roc_auc_score
0,128,16,32,40,0.8006598147443217
1,64,8,32,40,0.7662733155690902
10,512,64,32,30,0.8014211394493084
11,512,32,32,5,0.7207207207207208
12,512,32,128,20,0.7208476081715519
13,256,32,128,50,0.7199593960157341
14,512,64,32,70,0.835680751173709
15,128,16,32,25,0.7160258850399696
16,64,8,128,80,0.7213551579748763
17,128,16,16,35,0.8125872351224463
18,256,4,32,65,0.8146174343357441
19,64,8,16,20,0.794061667301104
2,128,16,128,35,0.7205938332698896
20,128,8,128,40,0.7207207207207207
21,512,8,8,20,0.8210886943281309
22,512,8,16,90,0.8385991625428244
23,512,64,8,95,0.8622002283974115
24,64,8,8,25,0.7799771602588503
25,64,8,16,35,0.7336632407054942
26,128,8,128,95,0.7835300088821214
27,64,8,128,85,0.7391194010912321
28,128,16,64,90,0.7963456414160639
29,512,64,32,65,0.8321279025504377
3,256,4,8,20,0.812206572769953
30,256,16,64,35,0.7559954320517701
31,64,8,128,75,0.719959396015734
32,256,32,32,40,0.8045933257200862
33,256,16,128,45,0.7259231062047964
34,512,8,16,85,0.8425326735185891
35,256,32,32,35,0.7993909402360106
36,64,8,32,40,0.7208476081715518
37,128,4,8,10,0.736962314427103
38,128,4,16,30,0.804339550818424
39,512,4,16,90,0.8330161147062556
4,128,16,16,10,0.7241466818931607
40,128,16,8,75,0.8337774394112422
41,512,32,128,5,0.7223702575815252
42,512,4,8,5,0.7235122446390052
43,512,16,8,35,0.8170282959015354
44,256,32,64,50,0.7982489531785306
45,128,8,64,70,0.7670346402740769
46,128,4,32,20,0.7170409846466185
47,64,8,16,90,0.8158863088440553
48,64,8,64,45,0.7222433701306941
49,512,4,8,55,0.8396142621494734
5,256,16,32,85,0.8355538637228777
50,128,4,32,95,0.8125872351224463
51,64,8,32,90,0.8076386245400329
52,64,8,128,90,0.7204669458190585
53,64,8,8,25,0.7642431163557923
54,64,8,64,75,0.8002791523918283
55,128,8,8,10,0.7779469610455526
56,64,8,16,5,0.7217358203273696
57,128,16,32,85,0.8062428625808907
58,256,4,128,5,0.7375967516812587
59,64,8,64,95,0.7230046948356808
6,256,32,8,95,0.8501459205684557
60,64,8,16,60,0.8157594213932242
61,64,8,128,35,0.7200862834665651
62,512,64,8,70,0.8562365182083492
63,128,16,128,35,0.7181829717040985
64,512,8,8,35,0.8321279025504377
65,128,16,16,75,0.8368227382311889
66,256,32,32,85,0.8332698896079177
67,128,16,16,55,0.8152518715898996
68,64,4,16,85,0.8167745209998731
69,64,8,128,85,0.721101383073214
7,256,32,64,65,0.8090343864991753
70,256,4,128,65,0.7222433701306941
71,128,4,32,95,0.816774520999873
72,512,16,8,25,0.823499555893922
73,256,16,16,20,0.8040857759167619
74,128,16,32,90,0.8269255170663621
75,512,32,8,85,0.8715898997589138
76,512,64,128,40,0.7218627077782008
77,512,64,16,35,0.825783530008882
78,256,32,128,50,0.7202131709173962
79,256,32,8,5,0.7273188681639385
8,64,8,8,90,0.8311128029437889
80,256,32,128,65,0.775028549676437
81,256,32,8,15,0.7926659053419617
82,128,4,8,85,0.8388529374444867
83,128,16,8,95,0.8284481664763355
84,64,8,64,10,0.7205938332698896
85,512,32,64,70,0.8108108108108107
86,128,16,16,15,0.7804847100621748
87,256,32,16,60,0.8181702829590154
88,64,8,16,20,0.7202131709173963
89,128,4,16,80,0.8194391574673263
9,256,32,128,25,0.7184367466057607
90,64,8,16,75,0.8259104174597132
91,64,8,128,65,0.7186905215074229
92,64,8,16,70,0.8078923994416951
93,128,8,16,15,0.7474939728460854
94,128,16,128,10,0.725542443852303
95,512,8,128,90,0.7699530516431925
96,512,4,8,45,0.840248699403629
97,256,4,128,95,0.7212282705240451
98,128,16,8,95,0.8454510848877046
99,128,4,32,75,0.8142367719832507
base_model,64,8,64,75,0.7759167618322548
