Model,first_layer_output_size,bottleneck_size,batch_size,epochs,roc_auc_score
0,64,8,64,25,0.99463133640553
1,256,32,16,35,0.9998617511520737
10,256,4,128,85,0.9994700460829493
11,64,8,32,90,0.9996543778801843
12,64,8,64,20,0.9948617511520738
13,512,16,32,15,0.9985023041474654
14,64,8,8,75,0.9999078341013825
15,128,16,16,50,0.9990552995391706
16,512,32,8,5,0.9937096774193549
17,256,16,64,15,0.9945852534562212
18,128,16,8,55,0.9999539170506913
19,128,16,64,95,0.9997926267281105
2,256,32,8,60,0.9999308755760369
20,256,32,16,40,0.9999308755760368
21,512,64,16,55,1.0
22,128,4,64,45,0.9990322580645161
23,512,8,8,40,0.9997926267281105
24,512,4,16,60,0.9999539170506913
25,256,32,16,60,0.9999539170506913
26,512,64,128,25,0.9944470046082949
27,128,16,8,30,0.9997695852534563
28,64,8,32,65,0.9984331797235023
29,256,16,8,85,0.9999769585253456
3,256,16,8,85,0.9998617511520738
30,256,4,32,15,0.9943548387096774
31,128,4,64,15,0.9948847926267281
32,128,16,32,95,0.9998617511520737
33,256,32,64,55,0.9998387096774194
34,256,32,16,70,0.9999078341013824
35,64,8,64,60,0.9941474654377881
36,256,16,32,45,0.99963133640553
37,256,8,32,5,0.9946082949308755
38,64,8,128,95,0.9946774193548388
39,64,8,128,55,0.9947465437788019
4,64,8,32,20,0.9950230414746544
40,128,16,32,25,0.995
41,64,8,32,25,0.9943548387096774
42,128,8,32,75,0.9999308755760369
43,256,32,64,5,0.995
44,64,8,128,20,0.9945852534562212
45,128,16,32,95,0.9999308755760369
46,256,32,128,85,0.9998387096774194
47,512,32,64,80,0.9999078341013824
48,128,16,16,10,0.9947465437788019
49,128,16,64,5,0.9947465437788019
5,512,8,32,35,0.9993778801843318
50,128,4,64,85,0.9998617511520738
51,128,4,32,40,0.9986175115207373
52,256,4,128,90,0.9995852534562212
53,64,8,32,90,0.999884792626728
54,512,4,8,95,0.9999539170506913
55,128,4,32,35,0.9939861751152074
56,256,16,32,50,0.999884792626728
57,512,8,16,85,0.9999539170506913
58,64,8,8,55,0.9999539170506913
59,64,8,64,55,0.99426267281106
6,64,4,32,80,0.9996082949308756
60,64,8,64,75,0.9996543778801843
61,128,16,16,50,0.9998156682027649
62,128,16,16,15,0.9988248847926268
63,512,64,8,40,0.999884792626728
64,256,4,8,65,0.999884792626728
65,512,16,128,90,0.9998617511520738
66,128,16,64,50,0.9975115207373272
67,256,4,32,50,0.9998617511520737
68,64,8,8,90,0.9999078341013824
69,256,4,16,30,0.9997465437788019
7,256,4,128,70,0.9996082949308756
70,128,4,16,65,0.9998617511520737
71,256,16,16,55,0.9999078341013825
72,128,16,32,25,0.9981797235023041
73,256,32,8,15,0.9998847926267281
74,64,8,16,40,0.9997695852534563
75,64,8,32,10,0.9947235023041475
76,256,32,32,50,0.9994239631336406
77,64,8,32,10,0.9948617511520738
78,64,8,128,55,0.9947004608294931
79,128,16,128,80,0.997373271889401
8,64,8,16,15,0.9941935483870967
80,128,16,8,20,0.9998617511520737
81,128,16,64,5,0.994884792626728
82,512,16,64,60,0.9998156682027649
83,256,32,8,20,0.9997926267281106
84,128,4,128,30,0.995
85,512,4,128,50,0.9947235023041474
86,512,16,64,65,0.9997695852534562
87,64,8,8,70,0.9996774193548387
88,64,8,64,5,0.9948387096774193
89,512,32,128,40,0.9974654377880184
9,64,8,32,5,0.994815668202765
90,256,32,128,65,0.9994470046082948
91,512,64,64,35,0.9991705069124424
92,128,8,16,65,0.9999078341013824
93,512,32,64,65,0.9998847926267281
94,64,4,64,40,0.99426267281106
95,512,32,16,80,0.9995161290322581
96,256,32,64,30,0.9962903225806451
97,256,8,8,60,0.9999308755760369
98,128,16,64,95,0.9998387096774193
99,256,8,128,45,0.9939861751152074
base_model,64,8,64,10,0.9950230414746544
