Model,first_layer_output_size,bottleneck_size,batch_size,epochs,roc_auc_score
0,128,16,32,40,0.7764201100643597
1,64,8,32,40,0.7533812144389517
10,512,64,32,30,0.7783788825669247
11,512,32,32,5,0.7012405559182912
12,512,32,128,20,0.7033858781830054
13,256,32,128,50,0.7021733047290365
14,512,64,32,70,0.7971271336629047
15,128,16,32,25,0.7037589777073034
16,64,8,128,80,0.7045051767558995
17,128,16,16,35,0.7749277119671673
18,256,4,32,65,0.7797780057830427
19,64,8,16,20,0.7794981811398191
2,128,16,128,35,0.704225352112676
20,128,8,128,40,0.7077697975935081
21,512,8,8,20,0.7877996455554519
22,512,8,16,90,0.800205204738364
23,512,64,8,95,0.795075086279265
24,64,8,8,25,0.7678388210055034
25,64,8,16,35,0.7129931909336815
26,128,8,128,95,0.7545005130118461
27,64,8,128,85,0.7248391008301465
28,128,16,64,90,0.7903180673444641
29,512,64,32,65,0.7884525697229736
3,256,4,8,20,0.7696110437459193
30,256,16,64,35,0.7606566551627646
31,64,8,128,75,0.7038522525883779
32,256,32,32,40,0.7827628019774275
33,256,16,128,45,0.7032926033019308
34,512,8,16,85,0.7962876597332338
35,256,32,32,35,0.7870534465068557
36,64,8,32,40,0.7035724279451544
37,128,4,8,10,0.7157914373659173
38,128,4,16,30,0.7761402854211361
39,512,4,16,90,0.7809905792370115
4,128,16,16,10,0.7016136554425894
40,128,16,8,75,0.7920902900848801
41,512,32,128,5,0.7043186269937506
42,512,4,8,5,0.6940583900755527
43,512,16,8,35,0.7734353138699749
44,256,32,64,50,0.7896651431769425
45,128,8,64,70,0.7643876504057457
46,128,4,32,20,0.7165376364145136
47,64,8,16,90,0.7887323943661971
48,64,8,64,45,0.7046917265180487
49,512,4,8,55,0.7925566644902527
5,256,16,32,85,0.7943288872306687
50,128,4,32,95,0.7871467213879302
51,64,8,32,90,0.7924633896091782
52,64,8,128,90,0.7045984516369742
53,64,8,8,25,0.7576718589683797
54,64,8,64,75,0.7841619251935453
55,128,8,8,10,0.7508627926499394
56,64,8,16,5,0.7075832478313591
57,128,16,32,85,0.7909709915119858
58,256,4,128,5,0.7064639492584647
59,64,8,64,95,0.7052513758044958
6,256,32,8,95,0.8026303516463016
60,64,8,16,60,0.7859341479339613
61,64,8,128,35,0.7031993284208562
62,512,64,8,70,0.8041227497434941
63,128,16,128,35,0.7018934800858129
64,512,8,8,35,0.7865870721014832
65,128,16,16,75,0.7993657308086932
66,256,32,32,85,0.7916239156795075
67,128,16,16,55,0.7798712806641172
68,64,4,16,85,0.7854677735285888
69,64,8,128,85,0.7039455274694524
7,256,32,64,65,0.7833224512638747
70,256,4,128,65,0.7070235985449118
71,128,4,32,95,0.7901315175823151
72,512,16,8,25,0.7868668967447067
73,256,16,16,20,0.781083854118086
74,128,16,32,90,0.7953549109224886
75,512,32,8,85,0.8123309392780524
76,512,64,128,40,0.704785001399123
77,512,64,16,35,0.7886391194851227
78,256,32,128,50,0.7046917265180487
79,256,32,8,5,0.7052513758044958
8,64,8,8,90,0.786587072101483
80,256,32,128,65,0.7594440817087957
81,256,32,8,15,0.7799645555451917
82,128,4,8,85,0.8010446786680346
83,128,16,8,95,0.7834157261449493
84,64,8,64,10,0.7039455274694525
85,512,32,64,70,0.7904113422255387
86,128,16,16,15,0.7463855983583622
87,256,32,16,60,0.7803376550694898
88,64,8,16,20,0.7046917265180487
89,128,4,16,80,0.7859341479339614
9,256,32,128,25,0.6998414327021734
90,64,8,16,75,0.7852812237664397
91,64,8,128,65,0.7065572241395393
92,64,8,16,70,0.7902247924633896
93,128,8,16,15,0.7241861766626249
94,128,16,128,10,0.700494356869695
95,512,8,128,90,0.7679320958865778
96,512,4,8,45,0.7968473090196809
97,256,4,128,95,0.7067437739016882
98,128,16,8,95,0.8014177781923328
99,128,4,32,75,0.7855610484096631
base_model,64,8,64,75,0.7120604421229363
