Model,sidelength,sigma,num_epochs,learning_rate,validation_roc_auc_score
0,10,14,8,1.3,0.8431671107727445
1,8,2,5,0.4,0.8972211648267987
10,19,10,2,0.5,0.8825022205303894
11,8,1,3,0.7,0.9165080573531278
12,13,13,5,0.1,0.8705748001522648
13,14,9,9,0.6,0.920060905976399
14,18,12,8,1.4,0.8939220911051897
15,17,3,2,0.8,0.9432813094784925
16,13,13,3,1.0,0.800913589645984
17,17,10,3,1.3,0.8517954574292602
18,19,1,2,1.0,0.9684050247430529
19,18,5,3,1.0,0.9283085902804213
2,13,17,3,1.4,0.7714757010531659
20,12,16,6,0.7,0.8700672503489404
21,10,5,5,1.0,0.8686714883897981
22,12,12,4,0.4,0.8564902931100113
23,10,3,9,1.4,0.9120669965740389
24,16,19,2,0.4,0.8326354523537622
25,13,4,4,1.4,0.900012688745083
26,10,3,7,0.1,0.9464534957492703
27,8,11,9,1.0,0.8583936048724782
28,12,3,2,1.0,0.9264052785179546
29,13,17,4,0.2,0.8227382311889353
3,13,7,5,0.1,0.9322421012561858
30,19,1,7,0.8,0.9667554878822484
31,11,10,6,0.8,0.898616926785941
32,12,16,3,0.3,0.878441822103794
33,10,14,6,1.1,0.7619591422408323
34,10,12,3,0.8,0.7523156959776678
35,12,16,8,0.3,0.8951909656135008
36,17,10,4,0.3,0.901154675802563
37,12,10,2,0.4,0.8372034005836823
38,17,16,5,1.3,0.8656261895698515
39,18,16,8,1.2,0.875142748382185
4,11,15,5,0.5,0.8600431417332826
40,16,12,3,1.3,0.8083999492450197
41,17,17,5,0.4,0.8623271158482426
42,18,19,4,0.7,0.8486232711584824
43,19,2,8,0.2,0.968531912193884
44,9,4,8,1.2,0.8888465930719451
45,8,1,8,0.9,0.9040730871716787
46,15,6,6,1.1,0.9133358710823498
47,15,6,4,0.3,0.9228524298946834
48,17,14,3,0.1,0.8545869813475447
49,8,9,6,1.1,0.8033244512117751
5,19,1,2,0.2,0.9694201243497018
50,8,7,5,0.8,0.8666412891765004
51,16,14,7,0.6,0.9019160005075497
52,16,9,5,0.8,0.9020428879583808
53,9,12,5,0.3,0.8653724146681893
54,14,7,6,1.3,0.8741276487755361
55,16,2,5,0.9,0.9328765385103414
56,11,7,4,0.4,0.8542063189950514
57,11,8,5,0.5,0.8780611597513006
58,18,18,6,1.1,0.8568709554625047
59,17,4,5,1.0,0.9360487247811191
6,17,10,9,0.2,0.941631772617688
60,13,9,3,0.2,0.8766653977921582
61,9,12,2,1.3,0.721101383073214
62,16,1,9,0.2,0.9682781372922218
63,12,11,8,1.4,0.9017891130567186
64,15,9,8,0.4,0.8991244765892653
65,11,15,7,0.3,0.859408704479127
66,17,19,2,0.9,0.8800913589645984
67,13,12,7,1.3,0.8467199593960157
68,13,18,9,1.4,0.83123969039462
69,17,16,8,1.1,0.9090216977540921
7,14,2,4,0.5,0.9474685953559194
70,8,7,8,0.8,0.8635959903565538
71,10,14,7,0.7,0.8757771856363405
72,15,18,2,0.6,0.8765385103413272
73,15,5,3,0.1,0.9369369369369369
74,10,2,9,0.3,0.9440426341834792
75,15,17,8,1.1,0.8528105570359092
76,11,1,2,0.1,0.9658672757264306
77,8,2,2,0.2,0.895317853064332
78,14,11,8,0.7,0.8794569217104429
79,19,18,9,0.6,0.884024869940363
8,10,12,2,0.8,0.7845451084887705
80,16,16,9,1.0,0.859408704479127
81,8,11,7,1.4,0.8132216723766019
82,15,13,5,0.9,0.8585204923233092
83,18,11,6,0.6,0.9220911051896967
84,17,11,9,0.6,0.9343991879203146
85,8,11,2,0.7,0.7638624540032991
86,11,8,6,0.2,0.9053419616799898
87,13,6,5,1.3,0.8577591676183225
88,9,12,3,1.1,0.7983758406293617
89,12,5,9,0.8,0.9302119020428881
9,13,15,9,0.7,0.9074990483441188
90,9,12,3,0.6,0.8232457809922598
91,18,4,6,1.3,0.9248826291079812
92,8,1,5,1.4,0.8902423550310874
93,9,3,3,0.5,0.8778073848496384
94,9,3,5,0.9,0.9132089836315189
95,14,5,7,1.3,0.8828828828828829
96,10,11,8,1.3,0.846973734297678
97,16,10,4,0.8,0.8838979824895318
98,12,8,5,0.1,0.9123207714757011
99,8,10,4,1.3,0.8903692424819185
base_model,12,15,0.5,5,0.9030579875650299
